     index            Field [G]         Intensity []
       400     3344.00058651026              2053338
       401     3344.02013685239              2085863
       402     3344.03968719453              2111370
       403     3344.05923753666              2146094
       404     3344.07878787879              2185092
       405     3344.09833822092              2221365
       406     3344.11788856305              2253147
       407     3344.13743890518              2290210
       408     3344.15698924731              2322847
       409     3344.17653958944              2366255
       410     3344.19608993157              2408271
       411      3344.2156402737              2447635
       412     3344.23519061584              2484612
       413     3344.25474095797              2529361
       414      3344.2742913001              2577209
       415     3344.29384164223              2624554
       416     3344.31339198436              2666313
       417     3344.33294232649              2708097
       418     3344.35249266862              2757231
       419     3344.37204301075              2808286
       420     3344.39159335288              2854624
       421     3344.41114369501              2902758
       422     3344.43069403715              2963599
       423     3344.45024437928              3003680
       424     3344.46979472141              3063076
       425     3344.48934506354              3120634
       426     3344.50889540567              3190431
       427      3344.5284457478              3247835
       428     3344.54799608993              3304530
       429     3344.56754643206              3356621
       430     3344.58709677419              3425719
       431     3344.60664711632              3498261
       432     3344.62619745846              3553522
       433     3344.64574780059              3623948
       434     3344.66529814272              3688524
       435     3344.68484848485              3758652
       436     3344.70439882698              3813540
       437     3344.72394916911              3895538
       438     3344.74349951124              3972244
       439     3344.76304985337              4047202
       440      3344.7826001955              4122470
       441     3344.80215053763              4197465
       442     3344.82170087977              4276023
       443      3344.8412512219              4348958
       444     3344.86080156403              4424931
       445     3344.88035190616              4503795
       446     3344.89990224829              4588908
       447     3344.91945259042              4671919
       448     3344.93900293255              4756734
       449     3344.95855327468              4831948
       450     3344.97810361681              4910628
       451     3344.99765395894              4981890
       452     3345.01720430108              5063378
       453     3345.03675464321              5147455
       454     3345.05630498534              5222116
       455     3345.07585532747              5297621
       456      3345.0954056696              5357426
       457     3345.11495601173              5433605
       458     3345.13450635386              5497083
       459     3345.15405669599              5572179
       460     3345.17360703812              5628174
       461     3345.19315738025              5688915
       462     3345.21270772238              5741820
       463     3345.23225806452              5799098
       464     3345.25180840665              5852250
       465     3345.27135874878              5901580
       466     3345.29090909091              5952814
       467     3345.31045943304              5995856
       468     3345.33000977517              6039083
       469      3345.3495601173              6075108
       470     3345.36911045943              6110388
       471     3345.38866080156              6137661
       472     3345.40821114369              6165775
       473     3345.42776148583              6188438
       474     3345.44731182796              6211123
       475     3345.46686217009              6228804
       476     3345.48641251222              6243347
       477     3345.50596285435              6256032
       478     3345.52551319648              6266153
       479     3345.54506353861              6271591
       480     3345.56461388074              6274789
       481     3345.58416422287              6275443
       482       3345.603714565              6275999
       483     3345.62326490714              6277086
       484     3345.64281524927              6268167
       485      3345.6623655914              6255878
       486     3345.68191593353              6243961
       487     3345.70146627566              6236000
       488     3345.72101661779              6224211
       489     3345.74056695992              6204624
       490     3345.76011730205              6182491
       491     3345.77966764418              6168987
       492     3345.79921798631              6150935
       493     3345.81876832845              6126149
       494     3345.83831867058              6100111
       495     3345.85786901271              6078254
       496     3345.87741935484              6044102
